Technical Skills,Soft Skills
Apache Flume , Integrity
Apache Hadoop , Personal Branding
Apache YARN , Professional
Apache Hive , Disability Awareness
Apache Kafka , Give Clear Feedback
Apache MAVEN , Stress Management
Apache Oozie , Perseverant
Apache Pig , Negotiation
Apache Spark , Delegation
Apache Tez , Talent Management
Apache Zookeeper , Public Speaking
Cloudera Impala , Accept Feedback
HDFS, Acuity
Hortonworks , Optimistic
MapR , Goal-Setting
MapReduce, Non-Verbal Communication
PIG/Pig Latin , Focus
HiveQL , Diplomacy
MapReduce , Coaching
XML , Open-Minded
FTP , Presentation Skills
Python , Discipline
UNIX , Idea Exchange
Shell, Decision-Making
scripting , Observation
LINUX, Agility
Scala, Highly Organized
Unix/Linux , Active Listening
Windows 10 , Diversity Awareness
Ubuntu , Artistic Sense
Apple OS, Empathy
Parquet , Supervising
Avro, Selflessness
JSON, Managing Difficult Conversations
ORC , Influential
text , Versatility
csv, Design
Cloudera , Taking Criticism
Hortonworks , Verbal Communication
MapR , Deal with Difficult Situations
AWS , Written Communication
Elastic, Remote Team Management
Elastic Cloud , Trainable
Elasticsearch , Interviewing
Cloudera CDH 4/5 , Clarity
Hortonworks HDP 2.3/2.4 , Generosity
Amazon Web Services (AWS), Sensitivity
Apache Spark, Tolerance of Change and Uncertainty
Spark Streaming , Persuasion
Storm, Reframing
Pentaho , Troubleshooting
QlikView , Streamlining
Tableau, Imagination
Apache Spark , Collaborative
Spark Streaming , Dependability
Storm, Insight
Microsoft SQL Server Database Administration (2005 2008R2 2012), Mediation
Database & Data Structures , Cooperation
Apache Cassandra , Intercultural Competence
Amazon Redshift , Deal-Making
DynamoDB , Conflict or Dispute Resolution
Apache Hbase , Resilient
Apache Hive , Memory
MongoDB , Sales Skills
Microsoft Project , Facilitating
Primavera P6 , Attentive
VMWare , Calm
Microsoft Word , Introspection
Excel , Friendliness
Outlook , Inspiring
Power Point, Project Management
Technical Documentation Skills, Lateral Thinking
Spark Structured Streaming, Task Planning
Spark DataFrame, Authenticity
Spark RDD, Results-Oriented
Spark Dataset, Emotional Intelligence
SparkSession, Interpersonal Relationships Skills
SparkContext, Business Ethics
SparkCore, Curiosity
SparkML, Storytelling
Spark shell, Punctual
Spark Submit, Persistence
Spark SQL, Allocating Resources
Spark Transformations, Design Sense
Spark Actions, Mind Mapping
Consulting, Questioning
Bash Scripting, Humility
Data Management, Motivated
Team Lead/Manager, Tolerance
Apache Cassandra, Cultural Intelligence
Automation, Commitment
Apache Pig, Office Politics Management
Open Source, Critical Observation
Amazon Web Services (AWS), Visual Communication
HDFS (Hadoop Distributed File System), Inspiration
Systems Administration/Management, Personality Conflicts Management
Writing Skills, Divergent Thinking
Cloudera, Analysis
SQL (Structured Query Language), Responsible
MySQL, Experimenting
Data Science, Brainstorming
Analysis Skills, People Management
Business Practices, Humor
Market Research, Positive Reinforcement
Microsoft Visio, Coordination
Training/Teaching, Confidence
Performance Testing, Initiative
Business Strategy, Emotion Management
Offshoring, Competitiveness
Big Data, Time Awareness
PostgreSQL, Self-Awareness
Predictive Modeling, Team-Building
Algorithms, Virtual Team Management
Business Intelligence, Personal Time Management
Scrum Project Management and Software Development, Planning
Data Entry, Mentoring
Turing Test, Coping
C Programming Language, Networking
CentOS, Strategic Planning
Leadership, Social Skills
System Test, Recall
Query Optimization, Reliable
Business Intelligence Software, Meeting Management
Data Mining, Innovation
MongoDB, Task Tracking
Atlassian JIRA, Sense of Urgency
Data Profiling, Scheduling
Unit Test, Logical Reasoning
Technical Presentation, Encouraging
Performance Modeling, Patience
Azure, Work-Life Balance
Microsoft Azure, Independence
Clustering, Prioritization
Linux Operating System, Organization
Requirements Management, Respectfulness
Data lake,
Software Installation,
Microsoft SharePoint,
Eclipse IDE,
Home Automation,
Customer Research,
Quantitative Analysis,
RPA,
Machine Learning,
Microsoft Visual Studio,
Linear Algebra,
Reinforcement Learning,
IEEE (Institute of Electrical and Electronic Engineers),
Data Processing,
Computer Programming,
Multitasking,
Waterfall Model of Software Development,
Generative Adversarial Networks,
Mining Methods,
User Interface/Experience (UI/UX),
Customer/Consumer Behavior,
Organizational Skills,
Strategic Analysis,
Computer Vision,
Data Analysis,
Signal Processing,
Transformation Tools,
Amazon Simple Storage Service (S3),
Object Oriented Programming (OOP),
Relational Databases (RDBMS),
HortonWorks,
Application Programming Interface (API),
Java,
Bootstrap,
Operating Systems,
Git,
Process Modeling,
Outbound Marketing,
Dynamo Db,
Software Development Lifecycle (SDLC),
Computer Linguistics,
Data Migration,
Numpy,
Spark,
NoSQL,
Database Extract Transform and Load (ETL),
Microsoft Windows Azure,
Programming Languages,
Kerberos,
Microsoft Word,
Microsoft Excel,
JSON,
Apache,
Microsoft PowerPoint,
Cloud Storage,
Python Programming/Scripting Language,
Apache Ant,